"","lon","lat"
"1",NA,NA
"2",-95.712891,37.09024
"3",NA,NA
"4",NA,NA
"5",-97.7430608,30.267153
"6",-71.3824374,42.4072107
"7",-118.2436849,34.0522342
"8",NA,NA
"9",NA,NA
"10",NA,NA
"11",NA,NA
"12",NA,NA
"13",-81.7075355,25.9397412
"14",-101.3544964,20.6786652
"15",-81.0348144,34.0007104
"16",-111.0937311,34.0489281
"17",NA,NA
"18",-0.1277583,51.5073509
"19",NA,NA
"20",-73.2594376,41.1420066
"21",-85.929814,32.4886992
"22",-119.4179324,36.778261
"23",NA,NA
"24",NA,NA
"25",-70.8226541,43.9653889
"26",-88.0398912,30.6953657
"27",NA,NA
"28",-71.0588801,42.3600825
"29",-71.4547891,42.9956397
"30",NA,NA
"31",-71.8022934,42.2625932
"32",NA,NA
"33",NA,NA
"34",NA,NA
"35",-85.3232139,51.253775
"36",-77.0368707,38.9071923
"37",NA,NA
"38",-73.9441579,40.6781784
"39",-113.4909267,53.544389
"40",NA,NA
"41",-81.5157535,27.6648274
"42",NA,NA
"43",-83.1074641,42.5301376
"44",-85.684578,30.1805306
"45",NA,NA
"46",-99.0202439,19.3272634
"47",NA,NA
"48",144.9611812,-37.8150737
"49",-74.4056612,40.0583238
"50",-79.9958864,40.4406248
"51",-79.1783725,40.6234671
"52",-116.5765035,53.9332706
"53",NA,NA
"54",NA,NA
"55",-91.9623327,30.9842977
"56",NA,NA
"57",NA,NA
"58",-73.9441579,40.6781784
"59",-66.590149,18.220833
"60",-80.1917902,25.7616798
"61",NA,NA
"62",NA,NA
"63",-84.3879824,33.7489954
"64",NA,NA
"65",-89.6501481,39.7817213
"66",-81.6035062,30.3500511
"67",NA,NA
"68",NA,NA
"69",-79.0192997,35.7595731
"70",-71.0588801,42.3600825
"71",NA,NA
"72",-117.4260466,47.6587802
"73",-95.712891,37.09024
"74",-121.4943996,38.5815719
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",-118.2436849,34.0522342
"79",-83.2341028,42.6875323
"80",NA,NA
"81",-86.8688899,35.9250637
"82",-73.134961,40.789142
"83",-71.2478251,42.0653812
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",-0.7594171,52.0406224
"89",-96.3344068,30.627977
"90",-75.1652215,39.9525839
"91",NA,NA
"92",-90.0489801,35.1495343
"93",NA,NA
"94",NA,NA
"95",-95.712891,37.09024
"96",NA,NA
"97",NA,NA
"98",-92.9475061,17.989456
"99",-73.087749,41.6032207
"100",NA,NA
"101",13.914399,3.9505128
"102",-115.1398296,36.1699412
"103",NA,NA
"104",NA,NA
"105",-35.200916,-5.7792569
"106",-117.0382471,32.5149469
"107",-75.7324127,40.8759235
"108",NA,NA
"109",-93.5874364,36.379123
"110",-87.6297982,41.8781136
"111",-72.285215,18.971187
"112",-99.9018131,31.9685988
"113",NA,NA
"114",-84.1916069,39.7589478
"115",-71.1908924,42.7262016
"116",NA,NA
"117",-88.7878678,43.7844397
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",-71.3161718,42.6334247
"122",NA,NA
"123",NA,NA
"124",NA,NA
"125",NA,NA
"126",NA,NA
"127",-84.1916069,39.7589478
"128",10.6507113,44.5594688
"129",-69.4454689,45.253783
"130",NA,NA
"131",-73.6742323,40.7422572
"132",NA,NA
"133",-74.6672226,40.3572976
"134",-71.0588801,42.3600825
"135",-84.1401926,34.2073196
"136",NA,NA
"137",NA,NA
"138",-77.0368707,38.9071923
"139",-102.552784,23.634501
"140",-71.6881528,43.7570196
"141",-93.5683651,47.5507924
"142",-123.1207375,49.2827291
"143",NA,NA
"144",-80.4549026,38.5976262
"145",-79.532157,43.8169837
"146",-95.712891,37.09024
"147",NA,NA
"148",NA,NA
"149",-94.139023,30.054381
"150",NA,NA
"151",-72.6850932,41.7637111
"152",NA,NA
"153",-74.0059413,40.7127837
"154",NA,NA
"155",NA,NA
"156",NA,NA
"157",-71.0588801,42.3600825
"158",NA,NA
"159",NA,NA
"160",-2.96083,53.4308294
"161",-73.4540111,41.394817
"162",NA,NA
"163",-71.0588801,42.3600825
"164",NA,NA
"165",-91.8074586,18.6504879
"166",-118.2436849,34.0522342
"167",-72.6078672,42.1487043
"168",NA,NA
"169",-79.7618035,34.0649253
"170",-71.0772796,42.7762015
"171",-97.856109,27.5158689
"172",-96.7969879,32.7766642
"173",NA,NA
"174",55.2707828,25.2048493
"175",-80.7209149,40.0639616
"176",NA,NA
"177",-103.1566534,34.4193739
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",-84.3879824,33.7489954
"185",-70.6672621,41.9584457
"186",NA,NA
"187",-119.8138027,39.5296329
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",-82.907123,40.4172871
"192",-76.6874701,35.1337865
"193",-82.3940104,34.8526176
"194",-114.07655,51.037739
"195",-87.5691735,33.2098407
"196",-77.0368707,38.9071923
"197",-97.330053,37.6871761
"198",NA,NA
"199",-77.138305,38.7149453
"200",NA,NA
"201",NA,NA
"202",-74.0059413,40.7127837
"203",NA,NA
"204",NA,NA
"205",NA,NA
"206",-84.2700179,37.8393332
"207",NA,NA
"208",-108.4959508,34.3430041
"209",-79.9958864,40.4406248
"210",-73.087749,41.6032207
"211",NA,NA
"212",NA,NA
"213",NA,NA
"214",-122.4194155,37.7749295
"215",-116.419389,38.8026097
"216",-111.9066784,40.5779592
"217",-111.8910474,40.7607793
"218",NA,NA
"219",-71.0588801,42.3600825
"220",-86.1349019,40.2671941
"221",NA,NA
"222",-81.9486828,28.03254
"223",NA,NA
"224",-84.2963123,33.7748275
"225",NA,NA
"226",-72.6850932,41.7637111
"227",-71.0588801,42.3600825
"228",NA,NA
"229",NA,NA
"230",-98.2061996,19.0412967
"231",NA,NA
"232",NA,NA
"233",-71.0723391,42.5039395
"234",NA,NA
"235",-78.6568942,37.4315734
"236",-81.0228331,29.2108147
"237",NA,NA
"238",-118.2436849,34.0522342
"239",-74.8271081,39.9837234
"240",NA,NA
"241",-105.1019275,40.1672068
"242",NA,NA
"243",-51.2176584,-30.0346471
"244",NA,NA
"245",-89.3985283,40.6331249
"246",-74.0059413,40.7127837
"247",-99.6556653,19.2826098
"248",-71.4128343,41.8239891
"249",NA,NA
"250",-96.6397822,33.1972465
"251",-73.1856703,40.7320429
"252",NA,NA
"253",NA,NA
"254",-95.3698028,29.7604267
"255",NA,NA
"256",-70.9494938,42.466763
"257",-91.9623327,30.9842977
"258",-91.8318334,35.20105
"259",-98.5828489,29.4735999
"260",-117.2941632,34.1284221
"261",-89.3985283,40.6331249
"262",-95.3698028,29.7604267
"263",NA,NA
"264",-97.1188299,31.5355376
"265",-96.7969879,32.7766642
"266",-86.7816016,36.1626638
"267",-106.346771,56.130366
"268",-87.1856139,37.5515321
"269",NA,NA
"270",NA,NA
"271",NA,NA
"272",-71.0588801,42.3600825
"273",-72.5450779,41.6861794
"274",NA,NA
"275",-100.5230594,34.7742689
"276",-117.7831104,33.5422475
"277",NA,NA
"278",-77.4360481,37.5407246
"279",-84.2807329,30.4382559
"280",NA,NA
"281",NA,NA
"282",NA,NA
"283",-73.0265277,41.278637
"284",-116.419389,34.9592083
"285",NA,NA
"286",-120.9968782,37.6390972
"287",-74.0059413,40.7127837
"288",NA,NA
"289",-71.2478251,42.0653812
"290",NA,NA
"291",-122.3320708,47.6062095
"292",-84.8643565,38.2153958
"293",-96.8236116,33.1506744
"294",NA,NA
"295",-70.8226541,43.9653889
"296",NA,NA
"297",NA,NA
"298",-74.3000878,40.2136754
"299",-98.2061996,19.0412967
"300",NA,NA
"301",NA,NA
"302",-83.0457538,42.331427
"303",-95.712891,37.09024
"304",NA,NA
"305",NA,NA
"306",-115.1711298,36.128561
"307",-77.1945247,41.2033216
"308",-104.8213634,38.8338816
"309",-77.0368707,38.9071923
"310",NA,NA
"311",-96.7969879,32.7766642
"312",-78.358616,38.9887199
"313",NA,NA
"314",NA,NA
"315",-71.0588801,42.3600825
"316",NA,NA
"317",-3.7033725,40.4162883
"318",-80.1386547,26.8233946
"319",-77.9155395,35.7212689
"320",-73.9746494,40.7609595
"321",NA,NA
"322",-63.1310704,46.23824
"323",NA,NA
"324",NA,NA
"325",-73.8320089,40.8436248
"326",NA,NA
"327",-51.92528,-14.235004
"328",NA,NA
"329",-0.1489144,50.8254324
"330",-85.8227413,38.2000701
"331",NA,NA
"332",78.471002,17.4436085
"333",NA,NA
"334",-122.1750657,37.4200507
"335",-97.0513646,33.0395092
"336",NA,NA
"337",-70.8605982,42.841723
"338",-61.222503,10.691803
"339",NA,NA
"340",-114.2512011,42.6779139
"341",NA,NA
"342",NA,NA
"343",NA,NA
"344",-118.2772773,34.0255823
"345",-83.3553842,42.2161722
"346",-105.0874842,39.8027644
"347",NA,NA
"348",-118.3430209,46.0645809
"349",NA,NA
"350",-74.0059413,40.7127837
"351",NA,NA
"352",NA,NA
"353",-71.0588801,42.3600825
"354",-115.1398296,36.1699412
"355",NA,NA
"356",28.233608,-29.609988
"357",NA,NA
"358",-72.164816,41.3542395
"359",-84.4277001,33.6407282
"360",NA,NA
"361",-74.8069813,11.0041072
"362",NA,NA
"363",-70.3002024,41.7003208
"364",-122.1686033,37.4226924
"365",-115.6911975,43.1329504
"366",-99.133208,19.4326077
"367",NA,NA
"368",NA,NA
"369",-76.2874927,36.7682088
"370",-99.133208,19.4326077
"371",NA,NA
"372",NA,NA
"373",-73.9712488,40.7830603
"374",NA,NA
"375",-85.6023643,44.3148443
"376",-71,25
"377",-85.754728,38.219586
"378",NA,NA
"379",-122.2913078,37.8271784
"380",-71.2643465,42.0909458
"381",-73.087749,41.6032207
"382",NA,NA
"383",NA,NA
"384",-90.9928773,30.1010323
"385",-99.9018131,31.9685988
"386",88.363895,22.572646
"387",NA,NA
"388",-106.346771,56.130366
"389",NA,NA
"390",-115.1398296,36.1699412
"391",NA,NA
"392",-80.782127,8.537981
"393",NA,NA
"394",-71.0588801,42.3600825
"395",7.4165053,10.5104642
"396",-71.0588801,42.3600825
"397",-77.0469214,38.8048355
"398",NA,NA
"399",-74.0059413,40.7127837
"400",-89.3985283,40.6331249
"401",-83.555212,41.6639383
"402",-74.0059413,40.7127837
"403",-71.0588801,42.3600825
"404",NA,NA
"405",-81.4456706,40.4897871
"406",-71.2689461,42.5584218
"407",-85.986644,34.5789747
"408",-88.1182923,41.501761
"409",NA,NA
"410",-95.3698028,29.7604267
"411",-83.9207392,35.9606384
"412",-73.9996685,40.7320465
"413",NA,NA
"414",NA,NA
"415",NA,NA
"416",NA,NA
"417",NA,NA
"418",-117.7846975,33.6673384
"419",-105.7820674,39.5500507
"420",-51.92528,-14.235004
"421",NA,NA
"422",-89.3131465,40.4336504
"423",NA,NA
"424",NA,NA
"425",-86.158068,39.768403
"426",-85.8891471,39.7219882
"427",-75.6971931,45.4215296
"428",-119.4179324,36.778261
"429",-84.3213409,33.7509329
"430",NA,NA
"431",NA,NA
"432",-61.370976,15.414999
"433",NA,NA
"434",-95.593239,29.6827204
"435",NA,NA
"436",NA,NA
"437",-80.1917902,25.7616798
"438",-95.712891,37.09024
"439",NA,NA
"440",NA,NA
"441",-76.432309,40.102755
"442",NA,NA
"443",-74.0059413,40.7127837
"444",-80.3110104,43.4310349
"445",NA,NA
"446",-95.712891,37.09024
"447",NA,NA
"448",-2.9915726,53.4083714
"449",101.975766,4.210484
"450",-116.3744556,33.7222445
"451",-74.0675758,40.7217338
"452",-81.3792365,28.5383355
"453",NA,NA
"454",-84.6266111,38.9989499
"455",NA,NA
"456",NA,NA
"457",-2.752136,48.069075
"458",NA,NA
"459",-74.4056612,40.0583238
"460",-73.2544903,45.305771
"461",-149.4936733,64.2008413
"462",-97.3307658,32.7554883
"463",NA,NA
"464",NA,NA
"465",153.1932534,-28.6104322
"466",NA,NA
"467",NA,NA
"468",-94.1574263,36.0625795
"469",NA,NA
"470",NA,NA
"471",NA,NA
"472",-71.1828321,42.3709299
"473",NA,NA
"474",-71.0588801,42.3600825
"475",NA,NA
"476",NA,NA
"477",-90.3583932,38.7311415
"478",-71.3824374,42.4072107
"479",-95.3698028,29.7604267
"480",-75.451571,40.1856597
"481",-71.1061639,42.4184296
"482",NA,NA
"483",NA,NA
"484",NA,NA
"485",NA,NA
"486",NA,NA
"487",-86.3442107,34.3614336
"488",-81.5861847,28.5652787
"489",NA,NA
"490",NA,NA
"491",NA,NA
"492",-73.4540111,41.394817
"493",NA,NA
"494",NA,NA
"495",-98.4936282,29.4241219
"496",-79.7618035,34.0649253
"497",-94.198558,39.0150069
"498",NA,NA
"499",NA,NA
"500",NA,NA
"501",-70.4994721,41.6917744
"502",127.945404,26.501301
"503",-104.990251,39.7392358
"504",NA,NA
"505",-80.0942087,26.9342246
"506",NA,NA
"507",-83.482116,42.3086444
"508",NA,NA
"509",73.0931461,33.7293882
"510",-122.4194155,37.7749295
"511",-82.907123,40.4172871
"512",-94.5785667,39.0997265
"513",NA,NA
"514",-95.3698028,29.7604267
"515",-73.9715774,40.7626541
"516",-71.1337112,42.3539038
"517",NA,NA
"518",NA,NA
"519",NA,NA
"520",-74.0059413,40.7127837
"521",NA,NA
"522",-106.346771,56.130366
"523",-111.0937311,34.0489281
"524",-46.6333094,-23.5505199
"525",-71.3824374,42.4072107
"526",NA,NA
"527",NA,NA
"528",NA,NA
"529",NA,NA
"530",-84.3879824,33.7489954
"531",-117.0382158,32.7381191
"532",NA,NA
"533",NA,NA
"534",-111.8879909,40.6668916
"535",NA,NA
"536",-96.3344068,30.627977
"537",-73.087749,41.6032207
"538",-71.2478251,42.0653812
"539",-95.712891,37.09024
"540",NA,NA
"541",NA,NA
"542",-73.3515001,42.9011892
"543",-120.9968782,37.6390972
"544",-47.5651394,-22.4149023
"545",NA,NA
"546",-70.5989325,41.7412773
"547",-87.6297982,41.8781136
"548",-84.3879824,33.7489954
"549",NA,NA
"550",-74.0059413,40.7127837
"551",NA,NA
"552",-58.2546051,-34.7206336
"553",-81.8164357,33.5419014
"554",-84.3879824,33.7489954
"555",NA,NA
"556",NA,NA
"557",-87.5761371,41.7964546
"558",-81.5615135,39.2667418
"559",-71.8022934,42.2625932
"560",-116.419389,34.9592083
"561",NA,NA
"562",-72.5466486,42.1536301
"563",NA,NA
"564",-112.1922956,35.2469948
"565",-118.2436849,34.0522342
"566",NA,NA
"567",-93.4557877,45.0724642
"568",-118.4716364,34.0519861
"569",-90.0715323,29.9510658
"570",NA,NA
"571",-81.655651,30.3321838
"572",NA,NA
"573",NA,NA
"574",-74.1723667,40.735657
"575",-79.9414266,37.2709704
"576",-118.4003563,34.0736204
"577",NA,NA
"578",NA,NA
"579",NA,NA
"580",NA,NA
"581",-75.5276699,38.9108325
"582",-77.0420009,38.916473
"583",-71.4372796,41.7798226
"584",-71.0588801,42.3600825
"585",-99.133208,19.4326077
"586",NA,NA
"587",-71.0588801,42.3600825
"588",NA,NA
"589",NA,NA
"590",NA,NA
"591",NA,NA
"592",-75.1652215,39.9525839
"593",-74.0059413,40.7127837
"594",-68.0065075,46.65776
"595",NA,NA
"596",-70.162651,18.735693
"597",-95.712891,37.09024
"598",-75.1652215,39.9525839
"599",NA,NA
"600",NA,NA
"601",NA,NA
"602",-92.5664305,35.1524783
"603",NA,NA
"604",106.822745,-6.1744651
"605",-80.4933474,41.2322726
"606",-95.4067752,29.4737935
"607",NA,NA
"608",-86.5804473,35.5174913
"609",-74.0059413,40.7127837
"610",-103.3496092,20.6596988
"611",NA,NA
"612",-77.1945247,41.2033216
"613",-97.9810845,29.8942825
"614",-75.953067,45.813212
"615",NA,NA
"616",NA,NA
"617",-84.3879824,33.7489954
"618",NA,NA
"619",NA,NA
"620",NA,NA
"621",-95.712891,37.09024
"622",NA,NA
"623",NA,NA
"624",NA,NA
"625",NA,NA
"626",NA,NA
"627",-82.9000751,32.1656221
"628",8.675277,9.081999
"629",-86.5861037,34.7303688
"630",19.140119,47.6942316
"631",NA,NA
"632",-118.3150722,33.7922392
"633",-81.3792365,28.5383355
"634",-97.396381,27.8005828
"635",-82.0206428,29.1044237
"636",151.2092955,-33.8688197
"637",NA,NA
"638",NA,NA
"639",NA,NA
"640",NA,NA
"641",NA,NA
"642",-75.2128996,39.9757092
"643",NA,NA
"644",NA,NA
"645",-71.3824374,42.4072107
"646",-99.9018131,31.9685988
"647",-95.712891,37.09024
"648",-74.0059413,40.7127837
"649",-81.9105859,35.3365745
"650",NA,NA
"651",-122.2913078,37.8271784
"652",-81.374011,28.5533684
"653",NA,NA
"654",-77.0368707,38.9071923
"655",NA,NA
"656",NA,NA
"657",-87.6297982,41.8781136
"658",-115.1398296,36.1699412
"659",NA,NA
"660",NA,NA
"661",-102.552784,23.634501
"662",-87.9064736,43.0389025
"663",NA,NA
"664",-95.712891,37.09024
"665",-97.7430608,30.267153
"666",NA,NA
"667",NA,NA
"668",NA,NA
"669",-95.712891,37.09024
"670",-68.7778138,44.8011821
"671",-81.5706109,30.7478954
"672",-83.336188,42.5921924
"673",-99.9018131,31.9685988
"674",-73.9833673,40.7436536
"675",NA,NA
"676",NA,NA
"677",NA,NA
"678",NA,NA
"679",-102.4107493,34.2331373
"680",-85.6023643,44.3148443
"681",NA,NA
"682",-77.1945247,41.2033216
"683",-77.0368707,38.9071923
"684",NA,NA
"685",-71.0095602,42.3656132
"686",NA,NA
"687",NA,NA
"688",NA,NA
"689",NA,NA
"690",-84.3879824,33.7489954
"691",-95.3698028,29.7604267
"692",-82.907123,40.4172871
"693",3.3439291,6.4979884
"694",-84.3879824,33.7489954
"695",NA,NA
"696",NA,NA
"697",NA,NA
"698",12.3730747,51.3396955
"699",-117.1610838,32.715738
"700",-73.9837628,40.7271155
"701",-69.9298194,43.8922586
"702",NA,NA
"703",-84.3879824,33.7489954
"704",-72.9492703,41.6717648
"705",-81.6943605,41.49932
"706",NA,NA
"707",-112.1221652,33.4926777
"708",-71.0588801,42.3600825
"709",-74.0059413,40.7127837
"710",-84.3879824,33.7489954
"711",-95.3698028,29.7604267
"712",-82.5436722,27.763383
"713",-117.2897652,34.1083449
"714",NA,NA
"715",-71.0588801,42.3600825
"716",NA,NA
"717",-95.712891,37.09024
"718",-87.5710898,37.9715592
"719",-90.1994042,38.6270025
"720",NA,NA
"721",-76.6412712,39.0457549
"722",-66.6588837,45.9389655
"723",-84.3879824,33.7489954
"724",-111.0937311,34.0489281
"725",NA,NA
"726",NA,NA
"727",-118.2436849,34.0522342
"728",NA,NA
"729",-78.6381787,35.7795897
"730",-79.8711024,43.2557206
"731",NA,NA
"732",-81.378447,40.7989473
"733",-117.1589616,32.7081928
"734",106.845599,-6.2087634
"735",NA,NA
"736",NA,NA
"737",-117.1610838,32.715738
"738",-73.087749,41.6032207
"739",-83.0137065,42.8034539
"740",-95.712891,37.09024
"741",-66.9036063,10.4805937
"742",NA,NA
"743",-99.1013498,19.2464696
"744",-74.0059413,40.7127837
"745",NA,NA
"746",NA,NA
"747",-66.58973,6.42375
"748",-71.0494919,42.3512857
"749",-117.1610838,32.715738
"750",NA,NA
"751",-117.1610838,32.715738
"752",-66.58973,6.42375
"753",NA,NA
"754",2.994088,45.266957
"755",-71.4433768,10.3863767
"756",-66.58973,6.42375
"757",NA,NA
"758",NA,NA
"759",NA,NA
"760",-72.5204827,9.967492
"761",-66.58973,6.42375
"762",-80.344777,25.7324737
"763",-74.0059413,40.7127837
"764",-99.9018131,31.9685988
"765",-81.4587621,35.0164538
"766",NA,NA
"767",NA,NA
"768",NA,NA
"769",NA,NA
"770",-70.8226541,43.9653889
"771",-73.9712488,40.7830603
"772",NA,NA
"773",NA,NA
"774",-114.7420408,44.0682019
"775",NA,NA
"776",NA,NA
"777",NA,NA
"778",NA,NA
"779",NA,NA
"780",121.774017,12.879721
"781",NA,NA
"782",-71.0588801,42.3600825
"783",NA,NA
"784",NA,NA
"785",-104.990251,39.7392358
"786",NA,NA
"787",NA,NA
"788",NA,NA
"789",13.6883765,11.5218308
"790",NA,NA
"791",NA,NA
"792",NA,NA
"793",-71.2923877,42.296797
"794",NA,NA
"795",-74.0059413,40.7127837
"796",10.451526,51.165691
"797",-71.0588801,42.3600825
"798",NA,NA
"799",-73.8648268,40.8447819
"800",NA,NA
"801",NA,NA
"802",-71.4128343,41.8239891
"803",-95.712891,37.09024
"804",-78.7583432,37.8131025
"805",NA,NA
"806",-82.7717684,28.0197404
"807",-89.6501481,39.7817213
"808",-74.0059413,40.7127837
"809",-81.5157535,27.6648274
"810",-71.4372796,41.7798226
"811",-118.2436849,34.0522342
"812",-79.0192997,35.7595731
"813",NA,NA
"814",-122.6764816,45.5230622
"815",NA,NA
"816",NA,NA
"817",NA,NA
"818",NA,NA
"819",-86.1349019,40.2671941
"820",-52.6711356,-26.2297202
"821",-71.2478251,42.0653812
"822",-95.2091006,29.6910625
"823",NA,NA
"824",-99.133208,19.4326077
"825",NA,NA
"826",NA,NA
"827",-115.1398296,36.1699412
"828",NA,NA
"829",-96.7969879,32.7766642
"830",-117.7202731,34.0859655
"831",-84.1916069,39.7589478
"832",NA,NA
"833",NA,NA
"834",-79.532157,43.8169837
"835",-51.9330558,-23.4209995
"836",NA,NA
"837",-79.9958864,40.4406248
"838",NA,NA
"839",-80.0997657,26.3184123
"840",-96.8236116,33.1506744
"841",NA,NA
"842",-95.712891,37.09024
"843",NA,NA
"844",NA,NA
"845",NA,NA
"846",-74.0059413,40.7127837
"847",-74.0059413,40.7127837
"848",-93.392867,44.986198
"849",NA,NA
"850",-0.1277583,51.5073509
"851",-74.0059413,40.7127837
"852",NA,NA
"853",NA,NA
"854",-74.0059413,40.7127837
"855",-73.9746494,40.7609595
"856",-74.0059413,40.7127837
"857",NA,NA
"858",-73.9746494,40.7609595
"859",-121.8863286,37.3382082
"860",-96.7969879,32.7766642
"861",NA,NA
"862",-99.9018131,31.9685988
"863",-74.0059413,40.7127837
"864",NA,NA
"865",NA,NA
"866",NA,NA
"867",-86.8515279,21.161908
"868",-122.2913078,37.8271784
"869",-78.6568942,37.4315734
"870",-70.8226541,43.9653889
"871",-75.1652215,39.9525839
"872",-95.9979883,41.2523634
"873",-3.7037902,40.4167754
"874",-109.9913078,40.3021191
"875",-95.712891,37.09024
"876",NA,NA
"877",-78.6568942,37.4315734
"878",-79.3831843,43.653226
"879",NA,NA
"880",-71.0735476,41.5700183
"881",-95.712891,37.09024
"882",NA,NA
"883",-3.435973,55.378051
"884",-95.3698028,29.7604267
"885",-85.3096801,35.0456297
"886",-44.5550308,-18.512178
"887",NA,NA
"888",-97.330053,37.6871761
"889",NA,NA
"890",-43.1728965,-22.9068467
"891",NA,NA
"892",NA,NA
"893",NA,NA
"894",-76.5472819,40.8441513
"895",-80.1917902,25.7616798
"896",-115.1398296,36.1699412
"897",NA,NA
"898",NA,NA
"899",NA,NA
"900",NA,NA
"901",-105.2705456,40.0149856
"902",-84.3879824,33.7489954
"903",NA,NA
"904",NA,NA
"905",-84.3879824,33.7489954
"906",NA,NA
"907",NA,NA
"908",-74.1502007,40.5795317
"909",NA,NA
"910",-120.7401386,47.7510741
"911",-79.532157,43.8169837
"912",NA,NA
"913",-95.712891,37.09024
"914",-119.7365248,36.8081588
"915",-118.2436849,34.0522342
"916",NA,NA
"917",-83.213346,42.331924
"918",NA,NA
"919",-73.9712488,40.7830603
"920",-77.0368707,38.9071923
"921",-89.4012302,43.0730517
"922",-106.346771,56.130366
"923",-72.764167,41.693255
"924",-80.8431267,35.2270869
"925",NA,NA
"926",NA,NA
"927",NA,NA
"928",-122.4510839,37.7694045
"929",NA,NA
"930",NA,NA
"931",NA,NA
"932",-81.5157535,27.6648274
"933",-71.2785583,42.5475383
"934",-87.6087638,41.8054641
"935",NA,NA
"936",NA,NA
"937",24.4750765,35.3596709
"938",-118.2436849,34.0522342
"939",-90.1994042,38.6270025
"940",-81.0348144,34.0007104
"941",-80.2533838,35.8240265
"942",-122.3320708,47.6062095
"943",-112.0740373,33.4483771
"944",NA,NA
"945",NA,NA
"946",NA,NA
"947",NA,NA
"948",-123.5823627,45.9962975
"949",-81.5190053,41.0814447
"950",-82.445154,38.4192496
"951",-87.5761371,41.7964546
"952",-99.9018131,31.9685988
"953",-87.771964,41.909611
"954",-73.9914361,40.6933555
"955",-96.7969879,32.7766642
"956",-74.0059413,40.7127837
"957",100.5017651,13.7563309
"958",-74.0059413,40.7127837
"959",NA,NA
"960",-82.8453668,27.9172334
"961",NA,NA
"962",NA,NA
"963",NA,NA
"964",-117.2632738,33.213422
"965",NA,NA
"966",NA,NA
"967",-97.5164276,35.4675602
"968",-89.5889864,40.6936488
"969",NA,NA
"970",7.5885761,47.5595986
"971",-95.3698028,29.7604267
"972",NA,NA
"973",-79.532157,43.8169837
"974",-77.4360481,37.5407246
"975",NA,NA
"976",-82.3940104,34.8526176
"977",NA,NA
"978",NA,NA
"979",NA,NA
"980",121.774017,12.879721
"981",NA,NA
"982",-95.712891,37.09024
"983",-74.0059413,40.7127837
"984",NA,NA
"985",NA,NA
"986",NA,NA
"987",NA,NA
"988",-118.2436849,34.0522342
"989",-122.1810006,47.3649207
"990",NA,NA
"991",-73.7823549,40.9114882
"992",-1.023194,7.946527
"993",-81.378447,40.7989473
"994",-74.0059413,40.7127837
"995",NA,NA
"996",-99.9018131,31.9685988
"997",-84.3879824,33.7489954
"998",NA,NA
"999",NA,NA
"1000",-60.0217314,-3.1190275
